,Year,KAN_M
109,2008.681693989071,-0.3872732567235341
110,2008.6818078324227,-0.3842732567235342
111,2008.6819216757744,-0.3442732567235341
112,2008.6820355191255,-0.3427732567235341
113,2008.6821493624773,-0.3392732567235342
114,2008.6822632058288,-0.3397732567235342
115,2008.6823770491803,-0.3402732567235341
116,2008.682490892532,-0.3357732567235343
117,2008.6826047358836,-0.3502732567235343
118,2008.682718579235,-0.3372732567235344
119,2008.6828324225864,-0.3362732567235344
120,2008.682946265938,-0.3327732567235343
121,2008.6830601092895,-0.3577732567235342
122,2008.6831739526413,-0.3692732567235343
123,2008.6832877959928,-0.3522732567235343
124,2008.6834016393443,-0.3902732567235342
125,2008.683515482696,-0.3542732567235343
126,2008.6836293260476,-0.3692732567235344
127,2008.683743169399,-0.3697732567235344
128,2008.6838570127504,-0.3677732567235344
129,2008.683970856102,-0.3662732567235344
130,2008.6840846994533,-0.3662732567235341
131,2008.684198542805,-0.3642732567235341
132,2008.6843123861568,-0.4117732567235341
133,2008.6844262295083,-0.3837732567235344
134,2008.68454007286,-0.3177732567235342
135,2008.6846539162116,-0.3162732567235341
136,2008.6847677595629,-0.3162732567235341
137,2008.6848816029144,-0.3182732567235343
138,2008.684995446266,-0.3182732567235343
139,2008.6851092896172,-0.3157732567235342
140,2008.685223132969,-0.3142732567235342
141,2008.6853369763203,-0.3132732567235343
142,2008.685450819672,-0.3072732567235342
143,2008.685564663024,-0.3052732567235341
144,2008.6856785063756,-0.3047732567235341
145,2008.6857923497269,-0.3037732567235343
146,2008.6859061930784,-0.3032732567235343
147,2008.68602003643,-0.3032732567235343
148,2008.6861338797812,-0.3047732567235344
149,2008.686247723133,-0.3062732567235341
150,2008.6863615664845,-0.3087732567235343
151,2008.686475409836,-0.3127732567235343
152,2008.6865892531875,-0.3157732567235343
153,2008.686703096539,-0.3187732567235343
154,2008.6868169398904,-0.3117732567235344
155,2008.6869307832424,-0.3177732567235342
156,2008.687044626594,-0.3102732567235343
157,2008.6871584699452,-0.3077732567235341
158,2008.687272313297,-0.3092732567235342
159,2008.6873861566485,-0.3077732567235341
160,2008.6875,-0.3082732567235343
161,2008.6876138433515,-0.3082732567235343
162,2008.687727686703,-0.3092732567235342
163,2008.6878415300544,-0.3092732567235342
164,2008.687955373406,-0.3087732567235341
165,2008.6880692167576,-0.309273256723534
166,2008.6881830601092,-0.3112732567235342
167,2008.688296903461,-0.3087732567235342
168,2008.6884107468125,-0.3082732567235341
